code,prime,error_disk,stripe_number,continuous_unit,scheme,blockcount
star,5,0,100,1,0,800
star,5,0,100,1,1,800
star,5,0,100,2,0,1200
star,5,0,100,2,1,1100
star,5,0,100,3,0,1600
star,5,0,100,3,1,1500
star,5,0,100,4,0,2000
star,5,0,100,4,1,1700
star,7,0,100,1,0,1200
star,7,0,100,1,1,1200
star,7,0,100,2,0,1800
star,7,0,100,2,1,1700
star,7,0,100,3,0,2400
star,7,0,100,3,1,2500
star,7,0,100,4,0,3000
star,7,0,100,4,1,3000
star,7,0,100,5,0,3600
star,7,0,100,5,1,3300
star,7,0,100,6,0,4200
star,7,0,100,6,1,3600
star,11,0,100,1,0,2000
star,11,0,100,1,1,2000
star,11,0,100,2,0,3000
star,11,0,100,2,1,2900
star,11,0,100,3,0,4000
star,11,0,100,3,1,4500
star,11,0,100,4,0,5000
star,11,0,100,4,1,5300
star,11,0,100,5,0,6000
star,11,0,100,5,1,5900
star,11,0,100,6,0,7000
star,11,0,100,6,1,6500
star,11,0,100,7,0,8000
star,11,0,100,7,1,7100
star,11,0,100,8,0,9000
star,11,0,100,8,1,7500
star,11,0,100,9,0,10000
star,11,0,100,9,1,8000
star,11,0,100,10,0,11000
star,11,0,100,10,1,8500
star,13,0,100,1,0,2400
star,13,0,100,1,1,2400
star,13,0,100,2,0,3600
star,13,0,100,2,1,3500
star,13,0,100,3,0,4800
star,13,0,100,3,1,5500
star,13,0,100,4,0,6000
star,13,0,100,4,1,6500
star,13,0,100,5,0,7200
star,13,0,100,5,1,7300
star,13,0,100,6,0,8400
star,13,0,100,6,1,8100
star,13,0,100,7,0,9600
star,13,0,100,7,1,9000
star,13,0,100,8,0,10800
star,13,0,100,8,1,9700
star,13,0,100,9,0,12000
star,13,0,100,9,1,10500
star,13,0,100,10,0,13200
star,13,0,100,10,1,11300
star,13,0,100,11,0,14400
star,13,0,100,11,1,11800
star,13,0,100,12,0,15600
star,13,0,100,12,1,12400
triple_star,5,0,100,1,0,400
triple_star,5,0,100,1,1,400
triple_star,5,0,100,2,0,800
triple_star,5,0,100,2,1,700
triple_star,5,0,100,3,0,1200
triple_star,5,0,100,3,1,1000
triple_star,5,0,100,4,0,1600
triple_star,5,0,100,4,1,1200
triple_star,7,0,100,1,0,600
triple_star,7,0,100,1,1,600
triple_star,7,0,100,2,0,1200
triple_star,7,0,100,2,1,1100
triple_star,7,0,100,3,0,1800
triple_star,7,0,100,3,1,1600
triple_star,7,0,100,4,0,2400
triple_star,7,0,100,4,1,2100
triple_star,7,0,100,5,0,3000
triple_star,7,0,100,5,1,2400
triple_star,7,0,100,6,0,3600
triple_star,7,0,100,6,1,2800
triple_star,11,0,100,1,0,1000
triple_star,11,0,100,1,1,1000
triple_star,11,0,100,2,0,2000
triple_star,11,0,100,2,1,1900
triple_star,11,0,100,3,0,3000
triple_star,11,0,100,3,1,2800
triple_star,11,0,100,4,0,4000
triple_star,11,0,100,4,1,3600
triple_star,11,0,100,5,0,5000
triple_star,11,0,100,5,1,4300
triple_star,11,0,100,6,0,6000
triple_star,11,0,100,6,1,5000
triple_star,11,0,100,7,0,7000
triple_star,11,0,100,7,1,5700
triple_star,11,0,100,8,0,8000
triple_star,11,0,100,8,1,6200
triple_star,11,0,100,9,0,9000
triple_star,11,0,100,9,1,6800
triple_star,11,0,100,10,0,10000
triple_star,11,0,100,10,1,7300
triple_star,13,0,100,1,0,1200
triple_star,13,0,100,1,1,1200
triple_star,13,0,100,2,0,2400
triple_star,13,0,100,2,1,2300
triple_star,13,0,100,3,0,3600
triple_star,13,0,100,3,1,3400
triple_star,13,0,100,4,0,4800
triple_star,13,0,100,4,1,4400
triple_star,13,0,100,5,0,6000
triple_star,13,0,100,5,1,5300
triple_star,13,0,100,6,0,7200
triple_star,13,0,100,6,1,6200
triple_star,13,0,100,7,0,8400
triple_star,13,0,100,7,1,7200
triple_star,13,0,100,8,0,9600
triple_star,13,0,100,8,1,7900
triple_star,13,0,100,9,0,10800
triple_star,13,0,100,9,1,8800
triple_star,13,0,100,10,0,12000
